WebQTrn-0	(0.6666666666666666, 0.5, 1.0)	1
WebQTrn-1	(1.0, 1.0, 1.0)	1
WebQTrn-3	(1.0, 1.0, 1.0)	1
WebQTrn-4	(1.0, 1.0, 1.0)	1
WebQTrn-5	(0.6666666666666666, 0.5, 1.0)	1
WebQTrn-6	(1.0, 1.0, 1.0)	1
WebQTrn-7	(0.6666666666666666, 0.5, 1.0)	0
WebQTrn-8	(1.0, 1.0, 1.0)	1
WebQTrn-12	(1.0, 1.0, 1.0)	1
WebQTrn-13	(0.8, 0.6666666666666666, 1.0)	1
WebQTrn-14	(0.7499999999999999, 0.6, 1.0)	1
WebQTrn-17	(0, 0.0, 0.0)	0
WebQTrn-18	(0.2710997442455243, 3.533333333333333, 0.14095744680851063)	1
WebQTrn-20	(0.6666666666666666, 0.5, 1.0)	1
WebQTrn-21	(0, 0.0, 0.0)	0
WebQTrn-22	(0.625, 1.0, 0.45454545454545453)	1
WebQTrn-23	(1.0, 1.0, 1.0)	1
WebQTrn-24	(1.5, 3.0, 1.0)	1
WebQTrn-25	(0.46153846153846156, 0.8571428571428571, 0.3157894736842105)	1
WebQTrn-26	(0, 0.0, 0.0)	0
WebQTrn-30	(1.0, 1.0, 1.0)	1
WebQTrn-31	(1.0, 1.0, 1.0)	1
WebQTrn-32	(1.0, 1.0, 1.0)	1
WebQTrn-33	(1.0, 1.0, 1.0)	1
WebQTrn-34	(0, 0.0, 0.0)	0
WebQTrn-35	(0.6666666666666666, 0.5, 1.0)	1
WebQTrn-36	(0.6666666666666666, 0.5, 1.0)	1
WebQTrn-37	(1.0, 1.0, 1.0)	1
WebQTrn-38	(0.33333333333333337, 0.2, 1.0)	0
WebQTrn-40	(0.6666666666666666, 1.0, 0.5)	1
WebQTrn-42	(1.0, 1.0, 1.0)	1
WebQTrn-45	(1.0, 1.0, 1.0)	1
WebQTrn-46	(0.888888888888889, 1.0, 0.8)	1
WebQTrn-49	(0.5416666666666666, 0.8125, 0.40625)	1
WebQTrn-52	(1.0, 1.0, 1.0)	1
WebQTrn-53	(0, 0.0, 0.0)	0
WebQTrn-54	(0.7142857142857143, 0.6521739130434783, 0.7894736842105263)	1
WebQTrn-55	(0.4, 0.3333333333333333, 0.5)	0
WebQTrn-56	(0.5714285714285715, 0.4, 1.0)	1
WebQTrn-57	(0.6666666666666666, 0.5, 1.0)	1
WebQTrn-60	(0.6923076923076924, 0.75, 0.6428571428571429)	1
WebQTrn-62	(1.0, 1.0, 1.0)	1
WebQTrn-63	(0.9473684210526316, 1.0, 0.9)	1
WebQTrn-64	(0, 0.0, 0.0)	0
WebQTrn-65	(0.2857142857142857, 1.0, 0.16666666666666666)	1
WebQTrn-66	(1.0, 1.0, 1.0)	1
WebQTrn-67	(0.7142857142857143, 0.5555555555555556, 1.0)	1
WebQTrn-69	(0.8333333333333334, 0.8333333333333334, 0.8333333333333334)	1
WebQTrn-70	(1.0, 1.0, 1.0)	1
WebQTrn-71	(0.6666666666666666, 0.5, 1.0)	1
WebQTrn-72	(1.0, 1.0, 1.0)	1
WebQTrn-74	(0, 0.0, 0.0)	0
WebQTrn-76	(1.0, 1.0, 1.0)	1
WebQTrn-77	(0.8409090909090908, 0.8809523809523809, 0.8043478260869565)	1
WebQTrn-78	(1.0, 1.0, 1.0)	1
WebQTrn-80	(0.6666666666666666, 1.0, 0.5)	1
WebQTrn-83	(0, 0.0, 0.0)	0
WebQTrn-86	(1.0, 1.0, 1.0)	1
WebQTrn-87	(0.16666666666666669, 0.1, 0.5)	1
WebQTrn-88	(0.6, 0.42857142857142855, 1.0)	1
